candidate_id,A,B,C,D,E,F/N,F/S,G/N,G/S,H/E,H/W,K/E,K/W,L,M/E,M/W,N,P/N,P/S,R/C,R/N,R/S,S,T
CAND_0000,36.15466666666667,31.08,32.094,29.703699486782334,29.131500000000003,27.0085,26.055,21.249557038183315,26.4155,17.252166666666668,19.917,13.895,17.80183333333333,20.02883333333333,24.499,25.062166666666663,22.955666666666666,11.523333333333332,10.367666666666668,8.081666666666667,7.37,4.815666666666667,23.486666666666668,29.88133333333333
CAND_0001,5.969833333333333,6.206666666666666,3.8381666666666665,4.035333333333333,8.420166666666667,16.951666666666668,10.440833333333334,14.183166666666668,9.281,20.600166666666667,18.692166666666665,26.082666666666668,28.532333333333334,20.84333333333333,18.489166666666662,17.329833333333333,21.14583333333333,32.99616666666667,26.253666666666668,38.04600000000001,37.017500000000005,30.756833333333336,27.445833333333333,33.56766666666667
CAND_0002,18.828166666666668,13.457333333333334,14.471333333333332,14.365166666666664,11.508833333333332,9.697833333333334,8.432333333333334,2.9021666666666666,8.453333333333333,7.3595,5.364,12.7545,15.204166666666667,10.2825,11.971666666666666,12.535,13.209333333333332,19.668,12.9255,24.71783333333333,23.6895,17.695607143095753,18.72833333333333,25.123
CAND_0003,23.040666666666667,16.919,19.581833333333336,19.475666666666665,16.619333333333334,13.535166666666669,13.542833333333334,12.993,15.860666666666669,9.392666666666663,14.371666666666666,11.539333333333332,19.028,6.4815,7.453166666666666,8.494666666666667,4.873333333333333,23.024166666666662,16.28183333333333,28.074,27.045666666666666,20.785,9.113333333333332,15.508
CAND_0004,15.8335,10.462666666666667,11.476833333333332,11.3705,8.514166666666666,7.287166666666667,4.322,6.928666666666667,7.7555,12.038,11.437666666666669,17.678,20.487666666666662,12.281,10.304666666666666,9.145333333333332,12.5835,24.5915,17.849,29.64133333333333,28.61283333333333,22.35216666666667,18.883666666666667,25.005333333333333
CAND_0005,23.054166666666667,16.932666666666666,18.7555,17.825666666666667,15.792833333333334,13.040166666666666,12.716333333333331,9.08,14.77,4.3165,9.2955,9.571833333333332,13.951666666666666,3.4253333333333336,7.3455,7.908833333333333,5.802333333333333,18.100166666666667,11.357666666666669,23.15,22.1215,15.860833333333334,11.871,18.224
CAND_0006,32.36783333333333,27.293,28.307166666666667,25.4835,25.3445,23.221666666666668,22.268,16.737833333333334,22.628666666666668,13.465333333333332,16.13,10.108166666666667,10.8375,16.242,20.712,21.27533333333333,19.16883333333333,3.929,6.5808333333333335,10.8285,12.298333333333334,6.0375,19.69983333333333,26.0945
CAND_0007,32.675666666666665,27.601,28.615,25.7915,25.6525,23.529666666666667,22.576,17.045833333333334,22.9365,13.773166666666668,16.29883333333333,10.416,8.613666666666667,16.55,21.02,21.58333333333333,19.476666666666667,4.587666666666666,6.8155,11.487166666666669,13.839166666666667,7.578333333333333,19.9345,26.329166666666666
CAND_0008,21.5145,16.143666666666668,17.157666666666668,15.316833333333332,14.195166666666667,13.148666666666664,11.118666666666666,5.588333333333334,11.479166666666666,7.120166666666666,1.5033333333333334,12.2365,11.996833333333331,10.043166666666668,14.513166666666669,15.0765,12.97,19.15,12.4075,24.19983333333333,23.171333333333333,16.910666666666668,18.489,24.883666666666667
CAND_0009,39.352833333333336,34.27816666666667,35.29216666666667,32.468666666666664,32.32966666666667,30.206833333333336,29.25316666666667,23.723000000000003,29.61383333333333,20.4505,23.115166666666667,17.09333333333333,16.027,23.22716666666667,27.697166666666664,28.2605,26.15383333333333,6.304333333333333,13.566,9.683333333333334,15.133166666666666,9.140333333333333,26.685,33.07966666666667
CAND_0010,37.5005,33.21076066711475,33.93231035260713,32.97605464233016,31.296526681503572,28.3545,28.478536879593985,24.560756435289743,28.826687939506538,20.443120680885993,21.3476942259098,15.580618838523181,19.14783333333333,21.37483333333333,25.844833333333334,26.408166666666663,24.3015,12.869166666666668,11.713666666666668,6.737833333333333,2.435166666666667,6.1615,24.8325,30.848000000000003
CAND_0011,34.98461079498123,30.970263895854274,32.116621330976685,31.97598916104767,29.428091126183038,25.53966666666667,26.40378747339767,24.997666666666664,27.971959953565037,20.737666666666662,25.7165,22.980666666666664,29.631666666666668,19.554666666666662,19.30433333333333,20.6585,14.012532805944785,30.791833333333333,24.049333333333333,28.788166666666665,24.485666666666667,26.755333333333333,14.038666666666668,9.9325
CAND_0012,4.566,4.1605,3.722,6.776166666666667,8.397166666666667,16.92866666666667,10.417833333333334,14.16,10.849833333333333,20.577166666666667,18.669,26.059666666666665,28.509166666666665,20.82016666666667,17.092666666666666,15.933333333333334,20.1175,32.97316666666667,26.2305,38.023,36.9945,30.733833333333333,26.417666666666666,32.53933333333333
CAND_0013,30.20733333333333,24.08566666666667,27.285166666666665,29.338166666666663,26.491333333333333,22.783666666666665,23.415000000000003,22.865166666666667,25.732666666666667,19.9365,24.9155,25.7095,29.57183333333333,19.563,12.5055,16.752,16.3445,33.720166666666664,26.977666666666668,38.77,37.74166666666667,31.480833333333333,22.6445,27.017333333333333
CAND_0014,26.018166666666666,20.9435,21.9575,19.134,18.995,16.872,15.9185,10.388166666666669,16.279,7.115666666666667,9.610166666666666,6.941833333333333,11.550999999999998,9.8925,14.3625,14.925833333333332,12.819166666666666,13.863,7.120500000000001,18.91283333333333,17.8845,12.026051330230976,18.338166666666663,24.73283333333333
CAND_0015,38.768166666666666,33.6935,34.7075,32.925799836039275,31.745,29.622,28.6685,24.61126004991788,29.029,20.53555849990283,22.5305,16.5085,20.4155,22.6425,27.1125,27.675833333333333,25.569166666666668,12.456666666666669,12.981333333333334,5.931166666666667,2.3095,7.429166666666666,26.100166666666667,32.4255
CAND_0016,27.006166666666665,20.8845,23.52,22.590333333333334,20.5575,17.5005,17.480999999999998,13.844666666666663,19.5345,9.081166666666666,14.06,11.2325,18.71633333333333,4.5465,11.418666666666669,12.440666666666669,7.740833333333333,22.71733333333333,15.974833333333333,27.767166666666665,26.738666666666667,20.478,9.700666666666669,16.095333333333333
CAND_0017,15.714666666666666,13.704,13.575,7.925166666666667,14.905666666666669,22.37833333333333,16.0285,16.945666666666668,10.414,19.17866666666667,17.932000000000002,24.573833333333333,27.383333333333333,22.10183333333333,24.73333333333333,24.827166666666667,25.0285,31.487166666666667,24.744833333333336,36.53716666666666,35.50866666666666,29.271284232008835,30.5475,36.94216666666667
